name,price
"Чай Greenfield Blueberry Nights чёрный с ароматом черники и ежевики в пакетиках, 25х1.5г","144,99"
"Чай Curtis Delicate Mango зелёный в пирамидках, 20х1.8г","89,99"
"Чай Greenfield Черри блоссом фруктовый с ароматом вишни в пакетиках, 25х2г","129,99"
"Чай Лисма Насыщеный чёрный в пакетиках, 25х1.8г","46,99"
"Чай Lipton Открой гармонию чёрный с чабрецом в пакетиках, 25х1.5г","129,99"
"Хлеб формовой, 300г","39,99"
"Пломбир Чистая Линия Московская лакомка 12%, 80г","119,99"
"Чай Richard Королевский цейлон чёрный листовой, 90г","169,99"
"Сахар Naturiqa Экстра белый кусковой, 500г","69,99"
"Сырок Коровка из Корёновки в молочном шоколаде 23%, 50г","51,99"
"Сыр полутвёрдый Брест-Литовск Маасдам 45%, 200г","249,99"
"Чай Азерчай Букет чёрный байховый крупнолистовой, 100г","159,99"
"Десерт творожный Grand Duet Мечта единорога ягодное мороженое 5.5%, 135г","69,99"
"Кофе Jacobs Monarch натуральный растворимый сублимированный, 95г","499,99"
"Напиток чайный Русский Иван-чай смородина листовой, 50г","99,99"
"Томатная паста Маркет Перекрёсток, 140г","74,99"
"Мороженое сливочное 48 Копеек шоколадное с шоколадным соусом 8%, 232г","119,99"
"Чай Принцесса Ява Традиционный зелёный в пакетиках, 25х2г","56,99"
"Напиток чайный Принцесса Ява Каркадэ в пакетиках, 25х1.5г","48,99"
"Фасоль белая в томатном соусе Маркет Перекрёсток, 400г","109,99"
"Соус Mivimex Кавказский особо острый, 200мл","63,99"
"Чай Black Dragon зелёный с жасмином листовой, 100г","199,99"
"Эскимо Магнат Шоколадный трюфель сливочное с наполнителем-бисквитами в шоколаде 8%, 72г","119,99"
"Оливки Bonduelle Мансанилья с лимоном, 300г","139,99"
"Соус Heinz горчичный, 230мл","134,99"
"Кофе Egoiste Noir молотый, 250г","499,99"
"Шпроты Вкусные Консервы в масле, 240г","149,99"
"Чай Akbar Gold чёрный байховый крупнолистовой, 250г","639,99"
"Кофе Jardin Americano Crema молотый, 250г","419,99"
"Чай чёрный байховый с ароматом бергамота в пакетиках Пр!ст, 20х1.5г","18,90"
"Горчица Столичная С хреном, 100г","35,99"
"Кофе Жокей ирландские сливки молотый, 150г","299,99"
"Эскимо Айсберри пломбир в шоколадной глазури круглое, 80г","73,99"
"Соус соевый SanBonsai без глютена, 250мл","99,99"
"Эскимо Milka сливочное ванильное с шоколадным соусом в молочном шоколаде 8%, 62г","134,99"
"Соус Чим Чим Корейская заправка для фунчозы, 60мл","54,99"
"Кукуруза Globus сладкая, 340г","84,99"
"Уксус КомисКом столовый 9%, 500мл","49,99"
"Майонез Ряба Провансаль 67%, 400г","99,99"
"Кетчуп Heinz со вкусом укроп-петрушка для шашлыка 1 категории, 320г","99,99"
"Горчица Столовая Пр!ст, 150г","24,99"
"Соус SanBonsai чили острый, 300мл","129,99"
"Чашки одноразовые кофейные окрашенные Пр!ст, 12шт","54,90"
"Кофе Lavazza Qualita Oro молотый, 250г","479,99"
"Майонез Mr. Ricco на перепелином яйце 67%, 400г","89,99"
"Кетчуп Mr. Ricco Томатный Pomodoro Speciale, 350г","109,99"
"Соус Sen Soy Pad Thai Sauce столовый, 80мл","54,99"
"Чай чёрный листовой крупный с чабрецом рассыпной Market Collection, 100г","179,99"
"Чай Maitre de The Женьшень улун зелёный, 150г","459,99"
"Чай Принцесса Нури Высокогорный чёрный в пакетиках, 100х2г","189,99"
"Кетчуп Махеевъ Лечо с кусочками овощей, 500г","149,99"
"Соус кунжутный SanBonsai, 250мл","199,99"
"Эскимо Вологодский Пломбир с фундуком в шоколадной глазури 15%, 75г","91,99"
"Кетчуп Томатный Пр!ст, 800г","79,90"
"Хрен Столовый острый Пр!ст, 200г","69,99"
"Чай Milford Шиповник фруктовый в пакетиках, 20х2г","129,90"
"Кофе Lavazza Crema e Gusto молотый, 250г","439,99"
"Соус Sen Soy кисло-сладкий, 120мл","54,99"
"Майонез Я люблю готовить Московский Провансаль классический , 700 г","149,99"
"Горчица Uni Dan Баварская, 270г","85,99"
"Соус кунжутный Takemura, 215мл","329,99"
"Уксус столовый 9% Пр!ст, 1л","59,99"
"Чай Dilmah чёрный цейлонский крупнолистовой, 100г","129,99"
"Хрен Васаби столовый острый Пр!ст, 170г","69,99"
"Соус соевый Cholimex натурального брожения, 500мл","195,00"
"Соус Cholimex Шрирача чили острый, 520мл","299,99"
"Горчица Uni Dan Дижонская, 270г","79,99"
"Кофе Julius Meinl Юбилейный молотый, 250г","549,99"
"Алтайвита Черный чай с Чабрецом, 15x2г","139,99"
"Чай Basilur Белое волшебство зелёный байховый оолонг листовой, 100г","219,99"
"Килька 5 Морей натуральная в томатном соусе, 240г","109,99"
"Кофе Bushido Sensei молотый, 227г","639,99"
"Соус Filippo Berio Песто классический, 190мл","329,99"
"Аджика Стоевъ Грузинская перечная, 120мл","59,99"
"Чай Teatone чёрный с чабрецом, 15х1.8г","154,99"
"Кофе Московская кофейня на паяхъ Коломбо натуральный растворимый сублимированный, 95г","449,99"
"Паста Aroy-D Том Ям кисло-сладкая, 50мл","79,99"
"Огурчики Пиканта маринованные 3-6см, 520г","179,99"
"Напиток чайный Милфорд Иммунити эхинацея-имбирь, 20x1.75г","149,99"
"Чай Травы и Пчёлы Таёжный травяной, 80г","169,99"
"Соус Sen Soy Premium чили, 320мл","199,99"
"Хрен Дядя Ваня со свеклой, 140г","124,99"
Набор посуды одноразовые Комплект 5 Маркет Перекрёсток,"12,99"
"Чай Milford Релакс с мятой курчавой и розмарином, 20х1.75г","144,99"
"Нож Apollo Sapphire универсальный, 13см","119,99"
"Икра Ресторация Обломов баклажанная, 420г","179,99"
"Кружка Осз Капучино пожелания, 300мл","119,99"
"Икра Ресторация Обломов кабачковая, 420г","179,99"
"Сардина Доброфлот иваси тихоокеанская натуральная, 245г","129,99"
"Соус Barilla Napoletana томатный с овощами, 400мл","179,99"
"Соус Berni Песто с базиликом, 195мл","159,99"
"Соус Стебель Бамбука Sriracha чили, 500мл","199,99"
"Шпроты Вкусные Консервы крупные в масле, 240г","169,99"
"Огурцы Лукашинские Пикантные маринованные, 340г","199,99"
"Соус Sen Soy Тайский чили сладкий для курицы, 1.15л","349,99"
"Кофе Tchibo Gold Mokka молотый, 250г","259,99"
"Помидоры черри Меленъ с зеленью и чесноком маринованные, 940г","179,99"
"Лечо Eko По-болгарски, 680г","139,99"
"Аджика Амца Абхазская классическая, 200мл","249,99"
"Соус соевый SanBonsai Терияки, 300мл","129,99"
"Напиток чайный Herbarus Заряд витаминов с травами и ягодами в пакетиках, 24x1.8г","199,99"
"Кружка ОСЗ Гламур, 200мл","81,99"
"Оливки с анчоусом Маркет Перекрёсток, 300г","159,99"
"Соус фруктовый Кинто Ткемали классический, 300мл","189,99"
"Соус Berni Песто с томатами, 195мл","159,99"
"Стакан Pasabahce Allegra Healthy Lifestyle PSB 41536, 425мл","65,90"
"Кофе Solo Venetica Arabica 100% натуральный жареный молотый, 250г","479,98"
"Огурцы Лукашинские По-домашнему солёные для дошкольного и школьного питания, 350г","169,99"
"Огурцы Валдайский Погребок старорусские с мёдом и клюквой солёные, 680г","179,99"
"Кофе Dell Arabica Brasil Santos в зёрнах, 500г",2
"Кофе Carte Noire Crema Delice натуральный жареный молотый, 230г","799,99"
"Соус-песто Alla Genovese Creamy Market Collection, 180мл","249,99"
"Налим Легенда Ямала пресноводный обжаренный в томатном соусе, 240г","129,99"
"Капуста квашеная шинкованная с морковью Зелёная Линия, 800г","239,99"
"Икра Арарат баклажанная домашняя стерилизованная, 460г","189,99"
"Отзывы: Соус соевый SanBonsai Терияки, 300мл","129,99"
"Лечо Павловские в густом томатном соусе, 680г","259,99"
"Соус Кинто Мегрельский перечный, 190г","209,00"
"Горчица Кинто Ротисьер, 170мл","79,99"
"Горчица Кинто Дижонская, 170г","79,99"
"Горчица Кинто Баварская Октоберфест, 170г","79,99"
"Соус Remia Black Jack BBQ классический, 450мл","459,99"
"Соус Богатство Вкуса Сацебели классический, 310мл","159,99"
"Чай AltaiVita Солнечный день травяной вкусный и полезный в пирамидках, 10х4г","209,99"
Бумага туалетная Zewa Just1 4шт 4 слоя,"259,99"
"Томаты Медовые черри красные круглые, 200г","149,99"
"Патиссоны маринованные целые Маркет Перекрёсток, 680г","149,99"
"Лук репчатый, 600г","79,99"
"Окорок Егорьевская КГФ Тамбовский копчёно-варёный категория Б, 180г","199,99"
"Аджика Кинто Бакинская, 265мл","189,99"
"Соус томатный Славянский Дар По-грузински, 360мл","129,99"
"Оливки Casa Rinaldi без косточки, 300г","349,99"
"Оливки Iposea Bella di Cerignola с косточкой, 310г","419,99"
"Хрен Кинто со сливками, 190г","169,99"
"Чай AltaiVita Хохот Шамана травяной тонизирующий в пирамидках, 10х4г","219,99"
"Колбаса варёная КампоМос Докторская категория А, 300г","149,99"
"Напиток чайный Иван-чай с чабрецом Зелёная Линия, 60г","159,99"
"Говядина сырокопчёная Егорьевская КГФ Брезаола категория А в нарезке, 80г","229,99"
"Чай Травы и Пчёлы Крымский травяной, 80г","279,99"
"Сыр Schonfeld Эдам нарезка 45%, 125г","159,99"
"Чай Травы и Пчёлы Северный травяной, 80г","239,99"
"Чай Сугревъ Апельсиновый пай чёрный, 60г","164,99"
"Сыр Schonfeld Тильзитер нарезка 45%, 125г","154,99"
Буженина Егорьевская Боярская варёная запечённая,"799,90"
"Диски ватные Я самая Мягкие и нежные, 120шт","114,99"
"Паштет Формула ГОСТа из печени и икры тресковых рыб, 220г","129,99"
"Голубика Маркет Fresh, 125г","199,99"
"Напиток чайный Floris лесные ягоды крымские, 80г","159,99"
"Оливки Astir Каламата с косточкой, 250г","429,99"
"Паштет Рублёвский Утка с черносливом мясной деликатесный, 200г","169,99"
"Каперсы Iberica, 100г","129,99"
"Колбаса сырокопчёная Егорьевская КГФ Столичная в нарезке, 100г","229,99"
"Ассорти оливок с косточкой Market Collection, 200г","339,99"
"Редис красный, 500г","79,99"
"Грибы белые Кедровый Бор маринованные резаные, 500г","759,99"
"Мыло Safeguard классическое, 90г","84,99"
"Зубная паста Splat Professional Отбеливание плюс для отбеливания зубов и защиты эмали, 100мл","249,99"
"Оливки Delphi копчёные на дубовых опилках в рассоле, 350г","399,99"
"Зубная паста President White для ежедневного отбеливания, 75г","359,99"
"Палочки ватные Я самая косметические для снятия макияжа, 200шт","119,99"
Зубная щетка President Sensitive мягкая,"289,99"
Зубная щетка President Profi Ortho для брекет-систем ортодонтическая средняя жесткость,"379,99"
Зубная щетка President White с отбеливающим эффектом жесткая,"289,99"
"Тампоны Tampax Compak super plus, 16шт","399,99"
"Артишоки Berni гриль, 280г","399,99"
"Прокладки Always Ultra normal, 20шт","309,99"
"Прокладки ежедневные Discreet Water lily multiform, 60шт","249,99"
Зубная щетка Splat Junior инновационная детская от 5 лет с ионами серебра мягкая,"199,99"
Зубная щетка President Classic для ежеджневного ухода средняя жесткость,"279,99"
Зубная щетка Splat Kids 2-8 лет детская антибактериальная мягкая,"199,99"
Зубная щетка President Smokers жесткая,"279,99"
"Зубная паста Splat Junior натуральная детская от 6 до 11 лет бабл гам без фтора, 55мл","249,99"
"Бритва Gillette Blue II одноразовая женская, 5шт","199,99"
Зубная щетка President Exclusive cредняя жесткость,"279,99"
"Мыло хозяйственное Солнышко с ароматом лимона, 140г","55,99"
"Мыло Palmolive Натурэль туалетное твердое с экстрактом оливы и увлажняющим молочком, 90г","91,99"
"Манго Lutik ломтики в лёгком сиропе, 425г","199,99"
"Мыло Absolut антибактериальное, 90г","41,99"
"Мыло Palmolive Роскошь Масел туалетное твердое с маслом миндаля и камелии, 90г","91,99"
"Мыло хозяйственное 72% Пр!ст, 150г","39,99"
Бумага туалетная Papia 12шт белая 3 слоя,"459,99"
"Тампоны Tampax Compak super, 16шт","399,99"
Зубная щётка R.O.C.S. Black Edition Classic средней жёсткости в ассортименте,"289,99"
"Мыло Absolut с маслом чайного дерева, 90г","45,99"
"Мыло жидкое Synergetic лаванда биоразлагаемое, 500мл","179,99"
